"Country","DeathsPer100k","DeathsPer1000","Years","Region"
"Afghanistan",521,42,54.4,"South Asia"
"Albania",7,10.8,79.9,"Europe"
"Algeria",62,18.6,77.9,"Africa"
"American Samoa",NA,9.5,75.8,"Australia and Oceania"
"Andorra",11,3.3,83.8,"Europe"
"Angola",183,46.1,62.9,"Africa"
"Anguilla",NA,2.9,82.6,"Central America and the Caribbean"
"Antigua and Barbuda",35,13.3,78.3,"Central America and the Caribbean"
"Argentina",33,7.4,78.8,"South America"
"Armenia",19,11.3,76.7,"Central Asia"
"Aruba",NA,11.2,78.5,"Central America and the Caribbean"
"Australia",2,3,83.5,"Australia and Oceania"
"Austria",6,3.2,82.7,"Europe"
"Azerbaijan",18,10.7,75.9,"Central Asia"
"Bahamas, The",76,9.2,76.7,"Central America and the Caribbean"
"Bahrain",17,9.6,80.4,"Middle East"
"Bangladesh",115,22,75.2,"South Asia"
"Barbados",35,15.1,79,"Central America and the Caribbean"
"Belarus",1,2.1,74.7,"Europe"
"Belgium",4,3,82.3,"Europe"
"Belize",67,11.3,74.3,"Central America and the Caribbean"
"Benin",518,51.6,63,"Africa"
"Bermuda",NA,2.1,82.5,"North America"
"Bhutan",47,23,73.7,"South Asia"
"Bolivia",146,22.1,72.5,"South America"
"Bosnia and Herzegovina",6,3.8,78.5,"Europe"
"Botswana",155,27.8,66.4,"Africa"
"Brazil",67,12.7,76.3,"South America"
"British Virgin Islands",NA,13,80.1,"Central America and the Caribbean"
"Brunei",36,9.8,78.9,"East and Southeast Asia"
"Bulgaria",6,7.5,76.1,"Europe"
"Burkina Faso",242,48,64.2,"Africa"
"Burma",185,30.8,70.3,"East and Southeast Asia"
"Burundi",392,35.3,68.1,"Africa"
"Cabo Verde",40,21.9,74.3,"Africa"
"Cambodia",137,27.2,71.4,"East and Southeast Asia"
"Cameroon",258,44.6,64.2,"Africa"
"Canada",12,3.8,84.2,"North America"
"Cayman Islands",NA,7.1,82.5,"Central America and the Caribbean"
"Central African Republic",692,79.3,56.4,"Africa"
"Chad",748,61.1,60,"Africa"
"Chile",10,4.5,80.3,"South America"
